"IATA","ICAO","Airport name","Country","City","Information"
"AME",,"Alto Molocue Airport","Mozambique","Alto Molocue","https://www.worlddata.info/africa/mozambique/airports.php"
"AMF",,"Ama Airport","Papua New Guinea",,"https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"AMH","HAAM","Arba Minch Airport","Ethiopia","Arba Minch","https://www.worlddata.info/africa/ethiopia/airports.php"
"AMI","WADA","Selaparang Airport","Indonesia","Mataram","https://www.worlddata.info/asia/indonesia/airports.php"
"AMJ","SNAR","Cirilo Queiróz Airport","Brazil","Almenara","https://www.worlddata.info/america/brazil/airports.php"
"AMK",,"Animas Air Park","United States of America","Durango","https://www.worlddata.info/america/usa/airports.php"
"AMM","OJAI","Queen Alia International Airport","Jordan","Amman","https://www.worlddata.info/asia/jordan/airports.php"
"AMN","KAMN","Gratiot Community Airport","United States of America","Alma","https://www.worlddata.info/america/usa/airports.php"
"AMO","FTTU","Mao Airport","Chad","Mao","https://www.worlddata.info/africa/chad/airports.php"
"AMP","FMSY","Ampanihy Airport","Madagascar","Ampanihy","https://www.worlddata.info/africa/madagascar/airports.php"
"AMQ","WAPP","Pattimura International Airport","Indonesia","Ambon","https://www.worlddata.info/asia/indonesia/airports.php"
"AMS","EHAM","Amsterdam Airport Schiphol","Netherlands","Amsterdam","https://www.worlddata.info/europe/netherlands/airports.php"
"AMT","YAMT","Amata Airport","Australia",,"https://www.worlddata.info/oceania/australia/airports.php"
"AMU",,"Amanab Airport","Papua New Guinea","Amanab","https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"AMV","ULDD","Amderma Airport","Russia","Amderma","https://www.worlddata.info/europe/russia/airports.php"
"AMW","KAMW","Ames Municipal Airport","United States of America","Ames","https://www.worlddata.info/america/usa/airports.php"
"AMX","YAMM","Ammaroo Airport","Australia",,"https://www.worlddata.info/oceania/australia/airports.php"
"AMY",,"Ambatomainty Airport","Madagascar",,"https://www.worlddata.info/africa/madagascar/airports.php"
"AMZ","NZAR","Ardmore Airport","New Zealand","Manurewa","https://www.worlddata.info/oceania/new-zealand/airports.php"
"ANA",,"Angama Airport","Kenya","Maasai Mara","https://www.worlddata.info/africa/kenya/airports.php"
"ANB","KANB","Anniston Regional Airport","United States of America","Anniston","https://www.worlddata.info/america/usa/airports.php"
"ANC","PANC","Ted Stevens Anchorage International Airport","United States of America","Anchorage","https://www.worlddata.info/america/usa/airports.php"
"AND","KAND","Anderson Regional Airport","United States of America","Anderson","https://www.worlddata.info/america/usa/airports.php"
"ANE","LFJR","Angers-Loire Airport","France","Marcé, Maine-et-Loire","https://www.worlddata.info/europe/france/airports.php"
"ANF","SCFA","Andrés Sabella Gálvez International Airport","Chile","Antofagasta","https://www.worlddata.info/america/chile/airports.php"
"ANG","LFBU","Angoulême-Brie-Champniers Airport","France","Angoulême/Brie/Champniers","https://www.worlddata.info/europe/france/airports.php"
"ANI","PANI","Aniak Airport","United States of America","Aniak","https://www.worlddata.info/america/usa/airports.php"
"ANJ","FCBZ","Zanaga Airport","Republic of the Congo","Zanaga","https://www.worlddata.info/africa/congo-brazzaville/airports.php"
"ANK","LTAD","Etimesgut Air Base","Turkey","Ankara","https://www.worlddata.info/asia/turkey/airports.php"
"ANL",,"Andulo Airport","Angola","Andulo","https://www.worlddata.info/africa/angola/airports.php"
"ANM","FMNH","Antsirabe Airport","Madagascar","Antsirabe","https://www.worlddata.info/africa/madagascar/airports.php"
"ANN","PANT","Annette Island Airport","United States of America","Metlakatla","https://www.worlddata.info/america/usa/airports.php"
"ANO","FQAG","Angoche Airport","Mozambique","Angoche","https://www.worlddata.info/africa/mozambique/airports.php"
"ANP","KANP","Lee Airport","United States of America","Annapolis","https://www.worlddata.info/america/usa/airports.php"
"ANQ","KANQ","Tri State Steuben County Airport","United States of America","Angola","https://www.worlddata.info/america/usa/airports.php"
"ANR","EBAW","Antwerp International Airport (Deurne)","Belgium","Antwerp","https://www.worlddata.info/europe/belgium/airports.php"
"ANS","SPHY","Andahuaylas Airport","Peru","Andahuaylas","https://www.worlddata.info/america/peru/airports.php"
"ANU","TAPA","V C Bird International Airport","Antigua and Barbuda","Osbourn","https://www.worlddata.info/america/antigua-barbuda/airports.php"
"ANV","PANV","Anvik Airport","United States of America","Anvik","https://www.worlddata.info/america/usa/airports.php"
"ANW","KANW","Ainsworth Regional Airport","United States of America","Ainsworth","https://www.worlddata.info/america/usa/airports.php"
"ANX","ENAN","Andøya Airport, Andenes","Norway","Andenes","https://www.worlddata.info/europe/norway/airports.php"
"ANY","KANY","Anthony Municipal Airport","United States of America","Anthony","https://www.worlddata.info/america/usa/airports.php"
"ANZ",,"Angus Downs Airport","Australia","Angus Downs Station","https://www.worlddata.info/oceania/australia/airports.php"
"AOB",,"Annanberg Airport","Papua New Guinea",,"https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"AOC","EDAC","Leipzig–Altenburg Airport","Germany","Nobitz","https://www.worlddata.info/europe/germany/airports.php"
"AOD",,"Abou-Deïa Airport","Chad","Abou-Deïa","https://www.worlddata.info/africa/chad/airports.php"
"AOE","LTBY","Anadolu Airport","Turkey","Eskişehir","https://www.worlddata.info/asia/turkey/airports.php"
"AOG","ZYAS","Anshan Teng'ao Airport / Anshan Air Base","China","Anshan","https://www.worlddata.info/asia/china/airports.php"
"AOH","KAOH","Lima Allen County Airport","United States of America","Lima","https://www.worlddata.info/america/usa/airports.php"
"AOI","LIPY","Marche Airport","Italy","Falconara Marittima (AN)","https://www.worlddata.info/europe/italy/airports.php"
"AOJ","RJSA","Aomori Airport","Japan","Aomori","https://www.worlddata.info/asia/japan/airports.php"
"AOK","LGKP","Karpathos Airport","Greece","Karpathos Island","https://www.worlddata.info/europe/greece/airports.php"
"AOL","SARL","Paso De Los Libres Airport","Argentina","Paso de los Libres","https://www.worlddata.info/america/argentina/airports.php"
"AOM",,"Adam Airport","Oman","Adam","https://www.worlddata.info/asia/oman/airports.php"
"AOO","KAOO","Altoona Blair County Airport","United States of America","Altoona","https://www.worlddata.info/america/usa/airports.php"
"AOP","SPAS","Alferez FAP Alfredo Vladimir Sara Bauer Airport","Peru","Andoas","https://www.worlddata.info/america/peru/airports.php"
"AOR","WMKA","Sultan Abdul Halim Airport","Malaysia","Alor Satar","https://www.worlddata.info/asia/malaysia/airports.php"
"AOT","LIMW","Aosta Corrado Gex Airport","Italy","Saint-Christophe (AO)","https://www.worlddata.info/europe/italy/airports.php"
"AOU","VLAP","Attopeu Airport","Laos","Attopeu","https://www.worlddata.info/asia/laos/airports.php"
"APA","KAPA","Centennial Airport","United States of America","Denver","https://www.worlddata.info/america/usa/airports.php"
"APB","SLAP","Apolo Airport","Bolivia","Apolo","https://www.worlddata.info/america/bolivia/airports.php"
"APC","KAPC","Napa County Airport","United States of America","Napa","https://www.worlddata.info/america/usa/airports.php"
"APF","KAPF","Naples Municipal Airport","United States of America","Naples","https://www.worlddata.info/america/usa/airports.php"
"APG","KAPG","Phillips Army Air Field","United States of America","Aberdeen","https://www.worlddata.info/america/usa/airports.php"
"APH","KAPH","Mary Walker LZ Airport","United States of America","Bowling Green","https://www.worlddata.info/america/usa/airports.php"
"API","SKAP","Gomez Nino Apiay Air Base","Colombia","Apiay","https://www.worlddata.info/america/colombia/airports.php"
"APJ",,"Ali Pulan Airport","China","Burang Town","https://www.worlddata.info/asia/china/airports.php"
"APK","NTGD","Apataki Airport","French Polynesia","Apataki","https://www.worlddata.info/oceania/french-polynesia/airports.php"
"APL","FQNP","Nampula Airport","Mozambique","Nampula","https://www.worlddata.info/africa/mozambique/airports.php"
"APN","KAPN","Alpena County Regional Airport","United States of America","Alpena","https://www.worlddata.info/america/usa/airports.php"
"APO","SKLC","Antonio Roldán Betancur Airport","Colombia","Carepa","https://www.worlddata.info/america/colombia/airports.php"
"APP",,"Asapa Airport","Papua New Guinea",,"https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"APQ","SNAL","Arapiraca Airport","Brazil","Arapiraca","https://www.worlddata.info/america/brazil/airports.php"
"APR",,"April River Airport","Papua New Guinea","April River","https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"APS","SWNS","Anápolis Airport","Brazil","Anápolis","https://www.worlddata.info/america/brazil/airports.php"
"APT","KAPT","Marion County Airport - Brown Field","United States of America","Jasper","https://www.worlddata.info/america/usa/airports.php"
"APU","SSAP","Captain João Busse Airport","Brazil","Apucarana","https://www.worlddata.info/america/brazil/airports.php"
"APV","KAPV","Apple Valley Airport","United States of America","Apple Valley","https://www.worlddata.info/america/usa/airports.php"
"APW","NSFA","Faleolo International Airport","Samoa","Apia","https://www.worlddata.info/oceania/samoa/airports.php"
"APX","SSOG","Arapongas Airport","Brazil","Arapongas","https://www.worlddata.info/america/brazil/airports.php"
"APY","SNAI","Alto Parnaíba Airport","Brazil","Alto Parnaíba","https://www.worlddata.info/america/brazil/airports.php"
"APZ","SAHZ","Zapala Airport","Argentina","Zapala","https://www.worlddata.info/america/argentina/airports.php"
"AQA","SBAQ","Araraquara Airport","Brazil","Araraquara","https://www.worlddata.info/america/brazil/airports.php"
"AQB","MGQC","Quiché Airport","Guatemala","Santa Cruz del Quiché","https://www.worlddata.info/america/guatemala/airports.php"
"AQG","ZSAQ","Anqing Tianzhushan Airport / Anqing North Air Base","China","Anqing","https://www.worlddata.info/asia/china/airports.php"
"AQI","OEPA","Al Qaisumah/Hafr Al Batin Airport","Saudi Arabia","Qaisumah","https://www.worlddata.info/asia/saudi-arabia/airports.php"
"AQJ","OJAQ","Aqaba King Hussein International Airport","Jordan","Aqaba","https://www.worlddata.info/asia/jordan/airports.php"
"AQP","SPQU","Rodríguez Ballón International Airport","Peru","Arequipa","https://www.worlddata.info/america/peru/airports.php"
"AQY",,"Girdwood-Alyeska Airport","United States of America","Girdwood","https://www.worlddata.info/america/usa/airports.php"
"ARA","KARA","Acadiana Regional Airport","United States of America","New Iberia","https://www.worlddata.info/america/usa/airports.php"
"ARB","KARB","Ann Arbor Municipal Airport","United States of America","Ann Arbor","https://www.worlddata.info/america/usa/airports.php"
"ARC","PARC","Arctic Village Airport","United States of America","Arctic Village","https://www.worlddata.info/america/usa/airports.php"
"ARD","WATM","Alor Island - Mali Airport","Indonesia","Kabola","https://www.worlddata.info/asia/indonesia/airports.php"
"ARE","TJAB","Antonio Nery Juarbe Pol Airport","Puerto Rico","Arecibo","https://www.worlddata.info/america/puerto-rico/airports.php"
"ARF",,"Acaricuara Airport","Colombia","Acaricuara","https://www.worlddata.info/america/colombia/airports.php"
"ARG","KARG","Walnut Ridge Regional Airport","United States of America","Walnut Ridge","https://www.worlddata.info/america/usa/airports.php"
"ARH","ULAA","Talagi Airport","Russia","Archangelsk","https://www.worlddata.info/europe/russia/airports.php"
"ARI","SCAR","Chacalluta Airport","Chile","Arica","https://www.worlddata.info/america/chile/airports.php"
"ARK","HTAR","Arusha Airport","Tanzania","Arusha","https://www.worlddata.info/africa/tanzania/airports.php"
"ARL","DFER","Arly Airport","Burkina Faso","Arly","https://www.worlddata.info/africa/burkina-faso/airports.php"
"ARM","YARM","Armidale Airport","Australia","Armidale","https://www.worlddata.info/oceania/australia/airports.php"
"ARN","ESSA","Stockholm-Arlanda Airport","Sweden","Stockholm","https://www.worlddata.info/europe/sweden/airports.php"
"ARO",,"Arboletes Airport","Colombia","Arboletes","https://www.worlddata.info/america/colombia/airports.php"
"ARP",,"Aragip Airport","Papua New Guinea",,"https://www.worlddata.info/oceania/papua-new-guinea/airports.php"
"ARR","SAVR","D. Casimiro Szlapelis Airport","Argentina","Alto Rio Senguerr","https://www.worlddata.info/america/argentina/airports.php"
"ARS","SJVO","Aragarças Airport","Brazil","Aragarças","https://www.worlddata.info/america/brazil/airports.php"
"ART","KART","Watertown International Airport","United States of America","Watertown","https://www.worlddata.info/america/usa/airports.php"
"ARU","SBAU","Araçatuba Airport","Brazil","Araçatuba","https://www.worlddata.info/america/brazil/airports.php"
"ARV","KARV","Lakeland Airport Noble F Lee Memorial Field","United States of America","Woodruff","https://www.worlddata.info/america/usa/airports.php"
"ARW","LRAR","Arad International Airport","Romania","Arad","https://www.worlddata.info/europe/romania/airports.php"
"ARX","SBAC","Aracati Dragão do Mar Regional Airport","Brazil","Aracati","https://www.worlddata.info/america/brazil/airports.php"
"ARY","YARA","Ararat Airport","Australia","Ararat","https://www.worlddata.info/oceania/australia/airports.php"
"ARZ","FNZE","N'zeto Airport","Angola","N'zeto","https://www.worlddata.info/africa/angola/airports.php"
"ASA","HHSB","Assab International Airport","Eritrea","Asab","https://www.worlddata.info/africa/eritrea/airports.php"
"ASB","UTAA","Ashgabat International Airport","Turkmenistan","Ashgabat","https://www.worlddata.info/asia/turkmenistan/airports.php"
"ASC","SLAS","Ascención De Guarayos Airport","Bolivia","Ascensión de Guarayos","https://www.worlddata.info/america/bolivia/airports.php"
"ASD","MYAF","Andros Town Airport","Bahamas",,"https://www.worlddata.info/america/bahamas/airports.php"
"ASE","KASE","Aspen-Pitkin County Airport (Sardy Field)","United States of America","Aspen","https://www.worlddata.info/america/usa/airports.php"
"ASF","URWA","Astrakhan Narimanovo Boris M. Kustodiev International Airport","Russia","Astrakhan","https://www.worlddata.info/europe/russia/airports.php"
"ASG","NZAS","Ashburton Aerodrome","New Zealand",,"https://www.worlddata.info/oceania/new-zealand/airports.php"
"ASH","KASH","Nashua Airport / Boire Field","United States of America","Nashua","https://www.worlddata.info/america/usa/airports.php"
"ASI","FHAW","RAF Ascension Island","Saint Helena, Ascension and Tristan da Cunha","Cat Hill","https://www.worlddata.info/africa/saint-helena/airports.php"
"ASJ","RJKA","Amami Airport","Japan","Amami","https://www.worlddata.info/asia/japan/airports.php"
"ASK","DIYO","Yamoussoukro Airport","Ivory Coast","Yamoussoukro","https://www.worlddata.info/africa/ivory-coast/airports.php"
"ASL","KASL","Harrison County Airport","United States of America","Marshall","https://www.worlddata.info/america/usa/airports.php"
